case_id	case_family	map	size	start	goal	maximum_distance	maximum_expansions	point_result_bits_or_absent	field_result_bits_or_absent	mismatch_class	ulp_difference_if_finite	reachability_difference	known_algorithmic_cause	relevant_current_consumer
random_049	random_safe_512	narrow	25	17,0	7,9	40|float64_be:4044000000000000	2048	float64_be:4034e6454cd7aa2a	float64_be:4034e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_050	random_safe_512	narrow	25	19,20	15,23	40|float64_be:4044000000000000	2048	float64_be:4014f876ccdf6cda	float64_be:4014f876ccdf6cd9	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_051	random_safe_512	narrow	25	18,0	10,18	40|float64_be:4044000000000000	2048	float64_be:40367c3b666fb66d	float64_be:40367c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_060	random_safe_512	narrow	25	18,1	23,13	40|float64_be:4044000000000000	2048	float64_be:402c2463000f8561	float64_be:402c2463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_061	random_safe_512	narrow	25	0,4	11,22	40|float64_be:4044000000000000	2048	float64_be:40368e6ce677791e	float64_be:40368e6ce677791f	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_062	random_safe_512	narrow	25	2,5	7,1	40|float64_be:4044000000000000	2048	float64_be:401aa09e667f3bcd	float64_be:401aa09e667f3bcc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_064	random_safe_512	narrow	25	5,1	23,8	40|float64_be:4044000000000000	2048	float64_be:403b2463000f8561	float64_be:403b2463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_065	random_safe_512	narrow	25	4,9	7,20	40|float64_be:4044000000000000	2048	float64_be:40287c3b666fb66d	float64_be:40287c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_081	random_safe_512	narrow	25	9,13	5,10	40|float64_be:4044000000000000	2048	float64_be:4014f876ccdf6cda	float64_be:4014f876ccdf6cd9	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_082	random_safe_512	narrow	25	16,23	2,17	40|float64_be:4044000000000000	2048	float64_be:4039504f333f9de7	float64_be:4039504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_086	random_safe_512	narrow	25	21,19	13,23	40|float64_be:4044000000000000	2048	float64_be:4023504f333f9de6	float64_be:4023504f333f9de7	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_090	random_safe_512	narrow	25	18,22	12,12	40|float64_be:4044000000000000	2048	float64_be:402a2463000f8560	float64_be:402a2463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_091	random_safe_512	narrow	25	7,9	2,5	40|float64_be:4044000000000000	2048	float64_be:401aa09e667f3bcd	float64_be:401aa09e667f3bcc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_096	random_safe_512	narrow	25	14,3	20,16	40|float64_be:4044000000000000	2048	float64_be:402ef876ccdf6cda	float64_be:402ef876ccdf6cdc	FINITE_TWO_ULP	2	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_097	random_safe_512	narrow	25	21,24	8,21	40|float64_be:4044000000000000	2048	float64_be:403b8e6ce677791e	float64_be:403b8e6ce677791f	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_099	random_safe_512	narrow	25	19,1	7,10	40|float64_be:4044000000000000	2048	float64_be:4034504f333f9de7	float64_be:4034504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_111	random_safe_512	narrow	25	5,0	21,16	40|float64_be:4044000000000000	2048	float64_be:403a2463000f8561	float64_be:403a2463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_114	random_safe_512	narrow	25	18,6	14,18	40|float64_be:4044000000000000	2048	float64_be:402b504f333f9de7	float64_be:402b504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_120	random_safe_512	narrow	25	2,0	11,21	40|float64_be:4044000000000000	2048	float64_be:4038ba5919a791a4	float64_be:4038ba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_125	random_safe_512	narrow	25	7,13	21,7	40|float64_be:4044000000000000	2048	float64_be:40307c3b666fb66d	float64_be:40307c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_129	random_safe_512	narrow	25	17,21	10,10	40|float64_be:4044000000000000	2048	float64_be:402e2463000f8560	float64_be:402e2463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_130	random_safe_512	narrow	25	16,4	23,22	40|float64_be:4044000000000000	2048	float64_be:4034e6454cd7aa2a	float64_be:4034e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_134	random_safe_512	narrow	25	4,5	0,8	40|float64_be:4044000000000000	2048	float64_be:4014f876ccdf6cda	float64_be:4014f876ccdf6cd9	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_136	random_safe_512	narrow	25	17,22	8,20	40|float64_be:4044000000000000	2048	float64_be:4036e6454cd7aa2a	float64_be:4036e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_141	random_safe_512	narrow	25	9,13	2,0	40|float64_be:4044000000000000	2048	float64_be:402fcc8a99af5454	float64_be:402fcc8a99af5455	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_145	random_safe_512	narrow	25	8,3	13,13	40|float64_be:4044000000000000	2048	float64_be:402a7c3b666fb66c	float64_be:402a7c3b666fb66d	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_156	random_safe_512	narrow	25	5,23	20,3	40|float64_be:4044000000000000	2048	float64_be:403b6280b3476098	float64_be:403b6280b3476099	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_175	random_safe_512	narrow	25	19,7	14,3	40|float64_be:4044000000000000	2048	float64_be:401aa09e667f3bcd	float64_be:401aa09e667f3bcc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_184	random_safe_512	narrow	25	4,21	11,1	40|float64_be:4044000000000000	2048	float64_be:4036e6454cd7aa2a	float64_be:4036e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_185	random_safe_512	narrow	25	8,16	4,3	40|float64_be:4044000000000000	2048	float64_be:402d504f333f9de7	float64_be:402d504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_190	random_safe_512	narrow	25	17,11	1,19	40|float64_be:4044000000000000	2048	float64_be:4033504f333f9de7	float64_be:4033504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_194	random_safe_512	narrow	25	19,1	3,22	40|float64_be:4044000000000000	2048	float64_be:403ccc8a99af5455	float64_be:403ccc8a99af5456	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_198	random_safe_512	narrow	25	17,3	3,0	40|float64_be:4044000000000000	2048	float64_be:403bf876ccdf6cdb	float64_be:403bf876ccdf6cdc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_207	random_safe_512	narrow	25	6,0	16,4	40|float64_be:4044000000000000	2048	float64_be:4039504f333f9de7	float64_be:4039504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_209	random_safe_512	narrow	25	16,23	8,2	40|float64_be:4044000000000000	2048	float64_be:40397c3b666fb66d	float64_be:40397c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_213	random_safe_512	narrow	25	1,22	11,19	40|float64_be:4044000000000000	2048	float64_be:40267c3b666fb66d	float64_be:40267c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_214	random_safe_512	narrow	25	10,4	5,19	40|float64_be:4044000000000000	2048	float64_be:403112318007c2b0	float64_be:403112318007c2b1	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_219	random_safe_512	narrow	25	6,18	0,3	40|float64_be:4044000000000000	2048	float64_be:40317c3b666fb66d	float64_be:40317c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_220	random_safe_512	narrow	25	10,4	4,19	40|float64_be:4044000000000000	2048	float64_be:40317c3b666fb66d	float64_be:40317c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_229	random_safe_512	narrow	25	17,3	24,23	40|float64_be:4044000000000000	2048	float64_be:4036e6454cd7aa2a	float64_be:4036e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_234	random_safe_512	narrow	25	21,6	15,20	40|float64_be:4044000000000000	2048	float64_be:40307c3b666fb66d	float64_be:40307c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_235	random_safe_512	narrow	25	6,11	22,4	40|float64_be:4044000000000000	2048	float64_be:4033ba5919a791a4	float64_be:4033ba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_238	random_safe_512	narrow	25	23,21	17,4	40|float64_be:4044000000000000	2048	float64_be:40337c3b666fb66d	float64_be:40337c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_240	random_safe_512	narrow	25	24,6	19,2	40|float64_be:4044000000000000	2048	float64_be:401aa09e667f3bcd	float64_be:401aa09e667f3bcc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_250	random_safe_512	narrow	25	22,3	17,13	40|float64_be:4044000000000000	2048	float64_be:40282463000f8560	float64_be:40282463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_253	random_safe_512	narrow	25	6,22	1,13	40|float64_be:4044000000000000	2048	float64_be:40262463000f8560	float64_be:40262463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_257	random_safe_512	narrow	25	16,2	7,17	40|float64_be:4044000000000000	2048	float64_be:4033e6454cd7aa2a	float64_be:4033e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_261	random_safe_512	narrow	25	5,24	8,20	40|float64_be:4044000000000000	2048	float64_be:4014f876ccdf6cda	float64_be:4014f876ccdf6cd9	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_262	random_safe_512	narrow	25	3,10	9,14	40|float64_be:4044000000000000	2048	float64_be:401ea09e667f3bcd	float64_be:401ea09e667f3bcc	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_265	random_safe_512	narrow	25	21,16	11,7	40|float64_be:4044000000000000	2048	float64_be:4030a827999fcef3	float64_be:4030a827999fcef4	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_266	random_safe_512	narrow	25	13,9	19,23	40|float64_be:4044000000000000	2048	float64_be:40307c3b666fb66d	float64_be:40307c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_273	random_safe_512	narrow	25	20,22	16,10	40|float64_be:4044000000000000	2048	float64_be:402b504f333f9de7	float64_be:402b504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_275	random_safe_512	narrow	25	7,2	0,5	40|float64_be:4044000000000000	2048	float64_be:40207c3b666fb66c	float64_be:40207c3b666fb66d	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_278	random_safe_512	narrow	25	19,23	9,3	40|float64_be:4044000000000000	2048	float64_be:4039504f333f9de7	float64_be:4039504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_280	random_safe_512	narrow	25	1,7	11,13	40|float64_be:4044000000000000	2048	float64_be:4028f876ccdf6cda	float64_be:4028f876ccdf6cdb	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_289	random_safe_512	narrow	25	13,22	18,10	40|float64_be:4044000000000000	2048	float64_be:402c2463000f8561	float64_be:402c2463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_291	random_safe_512	narrow	25	3,0	24,13	40|float64_be:4044000000000000	2048	float64_be:403cba5919a791a4	float64_be:403cba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_294	random_safe_512	narrow	25	21,0	10,9	40|float64_be:4044000000000000	2048	float64_be:4034ba5919a791a4	float64_be:4034ba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_298	random_safe_512	narrow	25	10,9	4,24	40|float64_be:4044000000000000	2048	float64_be:40317c3b666fb66d	float64_be:40317c3b666fb66e	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_299	random_safe_512	narrow	25	22,13	17,23	40|float64_be:4044000000000000	2048	float64_be:40282463000f8560	float64_be:40282463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_303	random_safe_512	narrow	25	14,2	22,23	40|float64_be:4044000000000000	2048	float64_be:4038504f333f9de7	float64_be:4038504f333f9de8	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_305	random_safe_512	narrow	25	1,5	7,15	40|float64_be:4044000000000000	2048	float64_be:4028f876ccdf6cda	float64_be:4028f876ccdf6cdb	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_314	random_safe_512	narrow	25	16,8	11,5	40|float64_be:4044000000000000	2048	float64_be:402c7c3b666fb66d	float64_be:402c7c3b666fb66c	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_317	random_safe_512	narrow	25	8,0	22,19	40|float64_be:4044000000000000	2048	float64_be:403b2463000f8561	float64_be:403b2463000f8562	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_327	random_safe_512	narrow	25	8,7	17,12	40|float64_be:4044000000000000	2048	float64_be:40287c3b666fb66d	float64_be:40287c3b666fb66c	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_330	random_safe_512	narrow	25	24,1	19,11	40|float64_be:4044000000000000	2048	float64_be:40282463000f8560	float64_be:40282463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_342	random_safe_512	narrow	25	2,17	9,6	40|float64_be:4044000000000000	2048	float64_be:402bcc8a99af5454	float64_be:402bcc8a99af5455	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_346	random_safe_512	narrow	25	22,6	17,16	40|float64_be:4044000000000000	2048	float64_be:40282463000f8560	float64_be:40282463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_355	random_safe_512	narrow	25	17,14	1,7	40|float64_be:4044000000000000	2048	float64_be:4032e6454cd7aa2b	float64_be:4032e6454cd7aa2a	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_358	random_safe_512	narrow	25	3,24	20,1	40|float64_be:4044000000000000	2048	float64_be:403f369480174812	float64_be:403f369480174813	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_370	random_safe_512	narrow	25	23,16	18,7	40|float64_be:4044000000000000	2048	float64_be:40262463000f8560	float64_be:40262463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_374	random_safe_512	narrow	25	21,24	0,7	40|float64_be:4044000000000000	2048	float64_be:403e6280b3476098	float64_be:403e6280b3476099	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_390	random_safe_512	narrow	25	8,18	16,15	40|float64_be:4044000000000000	2048	float64_be:402af876ccdf6cdb	float64_be:402af876ccdf6cda	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_394	random_safe_512	narrow	25	20,6	13,24	40|float64_be:4044000000000000	2048	float64_be:4034e6454cd7aa2a	float64_be:4034e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_395	random_safe_512	narrow	25	9,24	2,9	40|float64_be:4044000000000000	2048	float64_be:4031e6454cd7aa2a	float64_be:4031e6454cd7aa2b	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_399	random_safe_512	narrow	25	19,14	14,5	40|float64_be:4044000000000000	2048	float64_be:40262463000f8560	float64_be:40262463000f8561	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_407	random_safe_512	narrow	25	5,23	16,22	40|float64_be:4044000000000000	2048	float64_be:403aba5919a791a4	float64_be:403aba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_409	random_safe_512	narrow	25	22,23	13,0	40|float64_be:4044000000000000	2048	float64_be:403aba5919a791a4	float64_be:403aba5919a791a5	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
random_421	random_safe_512	narrow	25	19,5	13,17	40|float64_be:4044000000000000	2048	float64_be:402cf876ccdf6cda	float64_be:402cf876ccdf6cdb	FINITE_ONE_ULP	1	false	A*_vs_Dijkstra_path_and_floating_addition_order	FIELD_PRODUCTION_3;POINT_LIVE_NATIVE_WORLD
