category	old_path	new_path	symbols	disposition
CONSUMER_UPDATE	tests/test_kinodynamic_arc_edge_check.py	(same)	ARC_SAMPLES_PER_EDGE,KinoState,_arc_edge_check,_arc_sample_points,_segment_clear,ONSET_TURN_RADIANS,PATH_LENGTH_CELLS_PER_TICK,SteeringDirection,arc_endpoint_local	simulator.kinodynamic_route_planner -> navigation.kinodynamic_route_planner; simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_kinodynamic_route_planner.py	(same)	(full block); NavigationHistoryWrapper(local, unchanged); SteeringDirection,resolve_signed_turn_radians	simulator.kinodynamic_route_planner -> navigation.kinodynamic_route_planner; simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_kinodynamic_transition_fidelity.py	(same)	KinoState,_normalize_angle,_successor_state,bin_to_heading,heading_to_bin; movement_kernel block	simulator.kinodynamic_route_planner -> navigation.kinodynamic_route_planner; simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_basic_training_pipeline.py	(same)	SteeringDirection; POLICY_INPUT_SIZE; NavigationHistoryWrapper(unchanged); NavigationStepEvidence,sidecar_values_from_history	simulator.movement_kernel -> navigation.movement_kernel; navigation_history import split
CONSUMER_UPDATE	tests/test_movement_kernel.py	(same)	(full block)	simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_navigation_history.py	(same)	SteeringDirection; (full navigation_history block, split)	simulator.movement_kernel -> navigation.movement_kernel; navigation_history import split
CONSUMER_UPDATE	tests/test_physics_version_tag_provenance_only.py	(same)	(full block)	simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_run_provenance.py	(same)	MOVEMENT_PHYSICS_MODEL_ID; POLICY_INPUT_SIZE,RAW_OBSERVATION_SIZE	simulator.movement_kernel -> navigation.movement_kernel; simulator.navigation_history -> navigation.navigation_evidence
CONSUMER_UPDATE	tests/test_steering_oracle_escape_robust.py	(same)	STEADY_TURN_RADIANS,AdvanceResult,SteeringDirection	simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_steering_oracle_v3_terminal_gate.py	(same)	STEADY_TURN_RADIANS,AdvanceResult,SteeringDirection	simulator.movement_kernel -> navigation.movement_kernel
CONSUMER_UPDATE	tests/test_fine_tune_steering_branch.py	(same)	POLICY_INPUT_SIZE,RAW_OBSERVATION_SIZE,SIDECAR_SIZE	simulator.navigation_history -> navigation.navigation_evidence
CONSUMER_UPDATE	tests/test_basic_environment.py	(same)	POLICY_INPUT_SIZE; NavigationHistoryWrapper(unchanged)	navigation_history import split
CONSUMER_UPDATE	tests/test_navigation_dataset.py	(same)	POLICY_INPUT_SIZE	simulator.navigation_history -> navigation.navigation_evidence
CONSUMER_UPDATE	tests/test_steering_expansion_transplant.py	(same)	POLICY_INPUT_SIZE,RAW_OBSERVATION_SIZE,SIDECAR_SIZE; NavigationHistoryWrapper(unchanged)	navigation_history import split
CONSUMER_UPDATE	tests/test_temporal_sidecar_parity.py	(same)	(navigation_history block, split)	navigation_history import split
CONSUMER_UPDATE	RUN_CANONICAL_BASIC.py	(same)	NavigationHistoryWrapper(unchanged); map_model unchanged	no navigation.* symbols actually required (NavigationHistoryWrapper stays at simulator.navigation_history); no edit needed
NOT_EDITED_FROZEN	scratchpad_legacy_qualified_selector.py	(same, frozen)	KinoState,_direct_hop_min_clearance,annotate_route_edges,DESIRED_CLEARANCE_CELLS	historical-guard REQUIRED_FILES; expected fail-closed after move, not edited (section 6)
NOT_EDITED_FROZEN	scratchpad_general_router_episode.py	(same, frozen)	kinodynamic_route_planner block; NavigationHistoryWrapper	historical-guard REQUIRED_FILES; expected fail-closed after move, not edited (section 6)
NOT_EDITED_FROZEN	scratchpad_beginner_navigation_mix_pools.py	(same, frozen)	plan_route	historical-guard REQUIRED_FILES; expected fail-closed after move, not edited (section 6)
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_audit_final_target_lock_transitions.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	ordinary tracked diagnostic script from a completed investigation, not part of any test suite; out of Phase-9 core scope, left with its existing import (will fail to import at current HEAD, same category of consequence as the frozen scratchpads but for scoping, not historical-preservation, reasons)
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_audit_selector_fallback.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_beginner_routing_randomized_walls.py	(same)	_clearance_cells_native; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_diagnose_fallback_ranking_candidates.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_diagnose_ltr_rtl_contrastive.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_diagnose_single_wall_right_1_regression.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_diagnose_swr1_final_lock_suppressed.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_diagnose_two_wall_rtl_67_regression.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_monster_approach_baseline_eval.py	(same)	TargetPersistenceController,plan_route,select_persistent_waypoint; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_monster_approach_baseline_pool.py	(same)	plan_route	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_monster_approach_obstacle_geometry_audit.py	(same)	_segment_clear,plan_route	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_promotion_equivalence_check.py	(same)	kinodynamic_route_planner block; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_router_patch_qualification_compare.py	(same)	kinodynamic_route_planner block (x2)	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_router_v2_final_confirmation_820M.py	(same)	select_persistent_waypoint_experimental_invalid_hop_guard	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_router_v2_guarded_development_validation.py	(same)	select_persistent_waypoint_experimental_invalid_hop_guard; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_router_v2_qualification_840M.py	(same)	select_persistent_waypoint_experimental_invalid_hop_guard	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_router_v2_quick_checks.py	(same)	select_persistent_waypoint_experimental_invalid_hop_guard	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_single_obstacle_transfer_eval_calibrated_arc.py	(same)	_clearance_cells_native; NavigationHistoryWrapper	same as above
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_beginner_navigation_mix_train.py	(same)	NavigationHistoryWrapper	unaffected (NavigationHistoryWrapper stays at simulator.navigation_history) -- no edit needed, not broken
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_generalized_waypoint_train_reward_ablation.py	(same)	NavigationHistoryWrapper	unaffected -- no edit needed
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_ppo_pure_navigation.py	(same)	NavigationHistoryWrapper	unaffected -- no edit needed
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_ppo_pure_navigation_v2.py	(same)	NavigationHistoryWrapper	unaffected -- no edit needed
NOT_EDITED_ORDINARY_SCRATCHPAD	scratchpad_single_obstacle_train.py	(same)	NavigationHistoryWrapper	unaffected -- no edit needed
